max_channels,call_max_duration,max_interval,change_chance,drop_chance,calls_dropped
10,1,1,0,0,83.0
10,1,1,0,0.2,82.0
10,1,1,0,0.4,79.0
10,1,1,0.2,0,81.0
10,1,1,0.2,0.2,84.0
10,1,1,0.2,0.4,83.0
10,1,1,0.4,0,81.0
10,1,1,0.4,0.2,81.0
10,1,1,0.4,0.4,83.0
10,1,5,0,0,25.0
10,1,5,0,0.2,32.0
10,1,5,0,0.4,31.0
10,1,5,0.2,0,26.0
10,1,5,0.2,0.2,26.0
10,1,5,0.2,0.4,30.0
10,1,5,0.4,0,27.0
10,1,5,0.4,0.2,25.0
10,1,5,0.4,0.4,29.0
10,1,20,0,0,0.0
10,1,20,0,0.2,0.0
10,1,20,0,0.4,0.0
10,1,20,0.2,0,0.0
10,1,20,0.2,0.2,0.0
10,1,20,0.2,0.4,0.0
10,1,20,0.4,0,0.0
10,1,20,0.4,0.2,0.0
10,1,20,0.4,0.4,0.0
10,5,1,0,0,95.0
10,5,1,0,0.2,93.0
10,5,1,0,0.4,94.0
10,5,1,0.2,0,94.0
10,5,1,0.2,0.2,94.0
10,5,1,0.2,0.4,94.0
10,5,1,0.4,0,95.0
10,5,1,0.4,0.2,95.0
10,5,1,0.4,0.4,94.0
10,5,5,0,0,80.0
10,5,5,0,0.2,79.0
10,5,5,0,0.4,83.0
10,5,5,0.2,0,82.0
10,5,5,0.2,0.2,80.0
10,5,5,0.2,0.4,80.0
10,5,5,0.4,0,83.0
10,5,5,0.4,0.2,83.0
10,5,5,0.4,0.4,82.0
10,5,20,0,0,40.0
10,5,20,0,0.2,40.0
10,5,20,0,0.4,39.0
10,5,20,0.2,0,38.0
10,5,20,0.2,0.2,37.0
10,5,20,0.2,0.4,35.0
10,5,20,0.4,0,43.0
10,5,20,0.4,0.2,37.0
10,5,20,0.4,0.4,42.0
10,20,1,0,0,96.0
10,20,1,0,0.2,96.0
10,20,1,0,0.4,97.0
10,20,1,0.2,0,97.0
10,20,1,0.2,0.2,97.0
10,20,1,0.2,0.4,97.0
10,20,1,0.4,0,97.0
10,20,1,0.4,0.2,97.0
10,20,1,0.4,0.4,97.0
10,20,5,0,0,93.0
10,20,5,0,0.2,94.0
10,20,5,0,0.4,93.0
10,20,5,0.2,0,93.0
10,20,5,0.2,0.2,93.0
10,20,5,0.2,0.4,93.0
10,20,5,0.4,0,93.0
10,20,5,0.4,0.2,94.0
10,20,5,0.4,0.4,94.0
10,20,20,0,0,81.0
10,20,20,0,0.2,79.0
10,20,20,0,0.4,80.0
10,20,20,0.2,0,80.0
10,20,20,0.2,0.2,82.0
10,20,20,0.2,0.4,81.0
10,20,20,0.4,0,82.0
10,20,20,0.4,0.2,81.0
10,20,20,0.4,0.4,82.0
25,1,1,0,0,52.0
25,1,1,0,0.2,55.0
25,1,1,0,0.4,57.0
25,1,1,0.2,0,59.0
25,1,1,0.2,0.2,59.0
25,1,1,0.2,0.4,54.0
25,1,1,0.4,0,54.0
25,1,1,0.4,0.2,53.0
25,1,1,0.4,0.4,57.0
25,1,5,0,0,0.0
25,1,5,0,0.2,0.0
25,1,5,0,0.4,0.0
25,1,5,0.2,0,0.0
25,1,5,0.2,0.2,0.0
25,1,5,0.2,0.4,0.0
25,1,5,0.4,0,0.0
25,1,5,0.4,0.2,0.0
25,1,5,0.4,0.4,0.0
25,1,20,0,0,0.0
25,1,20,0,0.2,0.0
25,1,20,0,0.4,0.0
25,1,20,0.2,0,0.0
25,1,20,0.2,0.2,0.0
25,1,20,0.2,0.4,0.0
25,1,20,0.4,0,0.0
25,1,20,0.4,0.2,0.0
25,1,20,0.4,0.4,0.0
25,5,1,0,0,86.0
25,5,1,0,0.2,87.0
25,5,1,0,0.4,87.0
25,5,1,0.2,0,88.0
25,5,1,0.2,0.2,85.0
25,5,1,0.2,0.4,86.0
25,5,1,0.4,0,86.0
25,5,1,0.4,0.2,87.0
25,5,1,0.4,0.4,86.0
25,5,5,0,0,57.0
25,5,5,0,0.2,57.0
25,5,5,0,0.4,52.0
25,5,5,0.2,0,50.0
25,5,5,0.2,0.2,55.0
25,5,5,0.2,0.4,54.0
25,5,5,0.4,0,54.0
25,5,5,0.4,0.2,58.0
25,5,5,0.4,0.4,58.0
25,5,20,0,0,0.0
25,5,20,0,0.2,0.0
25,5,20,0,0.4,0.0
25,5,20,0.2,0,0.0
25,5,20,0.2,0.2,0.0
25,5,20,0.2,0.4,0.0
25,5,20,0.4,0,0.0
25,5,20,0.4,0.2,1.0
25,5,20,0.4,0.4,0.0
25,20,1,0,0,93.0
25,20,1,0,0.2,92.0
25,20,1,0,0.4,93.0
25,20,1,0.2,0,92.0
25,20,1,0.2,0.2,92.0
25,20,1,0.2,0.4,92.0
25,20,1,0.4,0,93.0
25,20,1,0.4,0.2,92.0
25,20,1,0.4,0.4,92.0
25,20,5,0,0,83.0
25,20,5,0,0.2,82.0
25,20,5,0,0.4,85.0
25,20,5,0.2,0,84.0
25,20,5,0.2,0.2,84.0
25,20,5,0.2,0.4,84.0
25,20,5,0.4,0,84.0
25,20,5,0.4,0.2,85.0
25,20,5,0.4,0.4,83.0
25,20,20,0,0,54.0
25,20,20,0,0.2,57.0
25,20,20,0,0.4,57.0
25,20,20,0.2,0,57.0
25,20,20,0.2,0.2,52.0
25,20,20,0.2,0.4,58.0
25,20,20,0.4,0,57.0
25,20,20,0.4,0.2,56.0
25,20,20,0.4,0.4,52.0
50,1,1,0,0,15.0
50,1,1,0,0.2,13.0
50,1,1,0,0.4,21.0
50,1,1,0.2,0,19.0
50,1,1,0.2,0.2,19.0
50,1,1,0.2,0.4,14.0
50,1,1,0.4,0,16.0
50,1,1,0.4,0.2,18.0
50,1,1,0.4,0.4,14.0
50,1,5,0,0,0.0
50,1,5,0,0.2,0.0
50,1,5,0,0.4,0.0
50,1,5,0.2,0,0.0
50,1,5,0.2,0.2,0.0
50,1,5,0.2,0.4,0.0
50,1,5,0.4,0,0.0
50,1,5,0.4,0.2,0.0
50,1,5,0.4,0.4,0.0
50,1,20,0,0,0.0
50,1,20,0,0.2,0.0
50,1,20,0,0.4,0.0
50,1,20,0.2,0,0.0
50,1,20,0.2,0.2,0.0
50,1,20,0.2,0.4,0.0
50,1,20,0.4,0,0.0
50,1,20,0.4,0.2,0.0
50,1,20,0.4,0.4,0.0
50,5,1,0,0,74.0
50,5,1,0,0.2,74.0
50,5,1,0,0.4,76.0
50,5,1,0.2,0,72.0
50,5,1,0.2,0.2,74.0
50,5,1,0.2,0.4,74.0
50,5,1,0.4,0,72.0
50,5,1,0.4,0.2,75.0
50,5,1,0.4,0.4,74.0
50,5,5,0,0,20.0
50,5,5,0,0.2,12.0
50,5,5,0,0.4,22.0
50,5,5,0.2,0,17.0
50,5,5,0.2,0.2,14.0
50,5,5,0.2,0.4,21.0
50,5,5,0.4,0,16.0
50,5,5,0.4,0.2,14.0
50,5,5,0.4,0.4,14.0
50,5,20,0,0,0.0
50,5,20,0,0.2,0.0
50,5,20,0,0.4,0.0
50,5,20,0.2,0,0.0
50,5,20,0.2,0.2,0.0
50,5,20,0.2,0.4,0.0
50,5,20,0.4,0,0.0
50,5,20,0.4,0.2,0.0
50,5,20,0.4,0.4,0.0
50,20,1,0,0,87.0
50,20,1,0,0.2,85.0
50,20,1,0,0.4,87.0
50,20,1,0.2,0,85.0
50,20,1,0.2,0.2,85.0
50,20,1,0.2,0.4,85.0
50,20,1,0.4,0,85.0
50,20,1,0.4,0.2,85.0
50,20,1,0.4,0.4,85.0
50,20,5,0,0,69.0
50,20,5,0,0.2,72.0
50,20,5,0,0.4,69.0
50,20,5,0.2,0,70.0
50,20,5,0.2,0.2,70.0
50,20,5,0.2,0.4,70.0
50,20,5,0.4,0,67.0
50,20,5,0.4,0.2,70.0
50,20,5,0.4,0.4,68.0
50,20,20,0,0,18.0
50,20,20,0,0.2,15.0
50,20,20,0,0.4,19.0
50,20,20,0.2,0,20.0
50,20,20,0.2,0.2,17.0
50,20,20,0.2,0.4,20.0
50,20,20,0.4,0,15.0
50,20,20,0.4,0.2,15.0
50,20,20,0.4,0.4,20.0
10,1,1,0,0,83.0
10,1,1,0,0.2,82.0
10,1,1,0,0.4,83.0
10,1,1,0.2,0,82.0
10,1,1,0.2,0.2,80.0
10,1,1,0.2,0.4,81.0
10,1,1,0.4,0,82.0
10,1,1,0.4,0.2,81.0
10,1,1,0.4,0.4,81.0
10,1,5,0,0,30.0
10,1,5,0,0.2,24.0
10,1,5,0,0.4,28.0
10,1,5,0.2,0,27.0
10,1,5,0.2,0.2,26.0
10,1,5,0.2,0.4,29.0
10,1,5,0.4,0,33.0
10,1,5,0.4,0.2,32.0
10,1,5,0.4,0.4,31.0
10,1,20,0,0,0.0
10,1,20,0,0.2,0.0
10,1,20,0,0.4,0.0
10,1,20,0.2,0,0.0
10,1,20,0.2,0.2,0.0
10,1,20,0.2,0.4,0.0
10,1,20,0.4,0,0.0
10,1,20,0.4,0.2,0.0
10,1,20,0.4,0.4,0.0
10,5,1,0,0,94.0
10,5,1,0,0.2,93.0
10,5,1,0,0.4,94.0
10,5,1,0.2,0,95.0
10,5,1,0.2,0.2,94.0
10,5,1,0.2,0.4,94.0
10,5,1,0.4,0,94.0
10,5,1,0.4,0.2,95.0
10,5,1,0.4,0.4,95.0
10,5,5,0,0,82.0
10,5,5,0,0.2,82.0
10,5,5,0,0.4,81.0
10,5,5,0.2,0,80.0
10,5,5,0.2,0.2,81.0
10,5,5,0.2,0.4,82.0
10,5,5,0.4,0,83.0
10,5,5,0.4,0.2,81.0
10,5,5,0.4,0.4,83.0
10,5,20,0,0,36.0
10,5,20,0,0.2,42.0
10,5,20,0,0.4,38.0
10,5,20,0.2,0,37.0
10,5,20,0.2,0.2,38.0
10,5,20,0.2,0.4,36.0
10,5,20,0.4,0,41.0
10,5,20,0.4,0.2,40.0
10,5,20,0.4,0.4,39.0
10,20,1,0,0,97.0
10,20,1,0,0.2,97.0
10,20,1,0,0.4,97.0
10,20,1,0.2,0,97.0
10,20,1,0.2,0.2,97.0
10,20,1,0.2,0.4,96.0
10,20,1,0.4,0,97.0
10,20,1,0.4,0.2,97.0
10,20,1,0.4,0.4,96.0
10,20,5,0,0,95.0
10,20,5,0,0.2,93.0
10,20,5,0,0.4,94.0
10,20,5,0.2,0,93.0
10,20,5,0.2,0.2,93.0
10,20,5,0.2,0.4,94.0
10,20,5,0.4,0,92.0
10,20,5,0.4,0.2,93.0
10,20,5,0.4,0.4,93.0
10,20,20,0,0,80.0
10,20,20,0,0.2,81.0
10,20,20,0,0.4,81.0
10,20,20,0.2,0,82.0
10,20,20,0.2,0.2,81.0
10,20,20,0.2,0.4,80.0
10,20,20,0.4,0,81.0
10,20,20,0.4,0.2,82.0
10,20,20,0.4,0.4,82.0
25,1,1,0,0,58.0
25,1,1,0,0.2,56.0
25,1,1,0,0.4,55.0
25,1,1,0.2,0,53.0
25,1,1,0.2,0.2,53.0
25,1,1,0.2,0.4,60.0
25,1,1,0.4,0,52.0
25,1,1,0.4,0.2,58.0
25,1,1,0.4,0.4,54.0
25,1,5,0,0,0.0
25,1,5,0,0.2,0.0
25,1,5,0,0.4,0.0
25,1,5,0.2,0,0.0
25,1,5,0.2,0.2,0.0
25,1,5,0.2,0.4,0.0
25,1,5,0.4,0,0.0
25,1,5,0.4,0.2,0.0
25,1,5,0.4,0.4,0.0
25,1,20,0,0,0.0
25,1,20,0,0.2,0.0
25,1,20,0,0.4,0.0
25,1,20,0.2,0,0.0
25,1,20,0.2,0.2,0.0
25,1,20,0.2,0.4,0.0
25,1,20,0.4,0,0.0
25,1,20,0.4,0.2,0.0
25,1,20,0.4,0.4,0.0
25,5,1,0,0,87.0
25,5,1,0,0.2,88.0
25,5,1,0,0.4,87.0
25,5,1,0.2,0,88.0
25,5,1,0.2,0.2,87.0
25,5,1,0.2,0.4,88.0
25,5,1,0.4,0,86.0
25,5,1,0.4,0.2,86.0
25,5,1,0.4,0.4,87.0
25,5,5,0,0,53.0
25,5,5,0,0.2,59.0
25,5,5,0,0.4,53.0
25,5,5,0.2,0,55.0
25,5,5,0.2,0.2,54.0
25,5,5,0.2,0.4,54.0
25,5,5,0.4,0,57.0
25,5,5,0.4,0.2,56.0
25,5,5,0.4,0.4,56.0
25,5,20,0,0,0.0
25,5,20,0,0.2,0.0
25,5,20,0,0.4,0.0
25,5,20,0.2,0,0.0
25,5,20,0.2,0.2,0.0
25,5,20,0.2,0.4,0.0
25,5,20,0.4,0,0.0
25,5,20,0.4,0.2,0.0
25,5,20,0.4,0.4,0.0
25,20,1,0,0,93.0
25,20,1,0,0.2,93.0
25,20,1,0,0.4,93.0
25,20,1,0.2,0,92.0
25,20,1,0.2,0.2,92.0
25,20,1,0.2,0.4,92.0
25,20,1,0.4,0,93.0
25,20,1,0.4,0.2,92.0
25,20,1,0.4,0.4,93.0
25,20,5,0,0,85.0
25,20,5,0,0.2,85.0
25,20,5,0,0.4,83.0
25,20,5,0.2,0,84.0
25,20,5,0.2,0.2,85.0
25,20,5,0.2,0.4,84.0
25,20,5,0.4,0,85.0
25,20,5,0.4,0.2,84.0
25,20,5,0.4,0.4,84.0
25,20,20,0,0,56.0
25,20,20,0,0.2,54.0
25,20,20,0,0.4,54.0
25,20,20,0.2,0,58.0
25,20,20,0.2,0.2,55.0
25,20,20,0.2,0.4,59.0
25,20,20,0.4,0,51.0
25,20,20,0.4,0.2,57.0
25,20,20,0.4,0.4,60.0
50,1,1,0,0,15.0
50,1,1,0,0.2,20.0
50,1,1,0,0.4,16.0
50,1,1,0.2,0,21.0
50,1,1,0.2,0.2,14.0
50,1,1,0.2,0.4,23.0
50,1,1,0.4,0,20.0
50,1,1,0.4,0.2,19.0
50,1,1,0.4,0.4,19.0
50,1,5,0,0,0.0
50,1,5,0,0.2,0.0
50,1,5,0,0.4,0.0
50,1,5,0.2,0,0.0
50,1,5,0.2,0.2,0.0
50,1,5,0.2,0.4,0.0
50,1,5,0.4,0,0.0
50,1,5,0.4,0.2,0.0
50,1,5,0.4,0.4,0.0
50,1,20,0,0,0.0
50,1,20,0,0.2,0.0
50,1,20,0,0.4,0.0
50,1,20,0.2,0,0.0
50,1,20,0.2,0.2,0.0
50,1,20,0.2,0.4,0.0
50,1,20,0.4,0,0.0
50,1,20,0.4,0.2,0.0
50,1,20,0.4,0.4,0.0
50,5,1,0,0,75.0
